"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.373397463E0,4.123392105E-1,-4.147567749E-1,6.303164363E-1,8.598520900E-1
1.378413609E0,4.535417557E-1,-4.457671642E-1,4.938064218E-1,8.051417708E-1
1.383429755E0,5.000905991E-1,-4.272010326E-1,2.841888666E-1,7.164877120E-1
1.388445849E0,5.375871658E-1,-3.975214958E-1,1.136975586E-1,6.781964578E-1
1.393461994E0,5.874528885E-1,-3.497586250E-1,-4.664376378E-2,6.852792370E-1
1.398478088E0,5.873413086E-1,-2.415513992E-1,-2.039417028E-1,6.670150743E-1
1.403494234E0,6.136293411E-1,-1.473197937E-1,-3.249750137E-1,7.098259290E-1
1.408510328E0,6.087932587E-1,-2.446126938E-2,-4.414929152E-1,7.524251322E-1
1.413526474E0,6.252288818E-1,9.556055069E-2,-5.463111997E-1,8.357624665E-1
1.418542567E0,6.102609634E-1,2.172718048E-1,-6.517617702E-1,9.189226767E-1
1.423558713E0,5.972490311E-1,3.332824707E-1,-7.575662732E-1,1.020632289E0
1.428574807E0,5.813570023E-1,4.148173332E-1,-8.547422886E-1,1.113837405E0
1.433590953E0,5.506677628E-1,4.500751495E-1,-9.172775745E-1,1.160689784E0
1.438607046E0,5.314521790E-1,4.796972275E-1,-9.742136002E-1,1.208984279E0
1.443623192E0,4.854955673E-1,5.179519653E-1,-1.009297132E0,1.233961460E0
1.448639286E0,4.081640244E-1,5.267944336E-1,-9.984416962E-1,1.200414956E0
1.453655432E0,2.707099915E-1,5.226631165E-1,-8.626637459E-1,1.044341597E0
1.458671526E0,1.213378906E-1,4.868845940E-1,-7.179860473E-1,8.759471763E-1
1.463687671E0,-1.117515564E-2,4.506430626E-1,-6.939772367E-1,8.275315457E-1
1.468703817E0,-1.720886230E-1,4.188752174E-1,-5.448443890E-1,7.084676070E-1
1.473719911E0,-3.709297180E-1,3.745942116E-1,-3.810622692E-1,6.504753124E-1
1.478736005E0,-5.957059860E-1,2.936778069E-1,-1.865298748E-1,6.898591669E-1
1.483752151E0,-8.223495483E-1,2.169585228E-1,-6.894433498E-2,8.532778572E-1
1.488768296E0,-9.934854507E-1,8.706998825E-2,1.627075672E-2,9.974263187E-1
1.493784390E0,-1.092486382E0,-3.376007080E-4,4.483008385E-2,1.093405846E0
1.498800536E0,-1.124300957E0,-1.049652100E-1,7.182931900E-2,1.131472398E0
1.503816630E0,-1.124742508E0,-2.168760300E-1,8.762335777E-2,1.148807545E0
1.508832776E0,-1.070108414E0,-2.883324623E-1,9.992897511E-2,1.112768361E0
1.513848869E0,-1.010680199E0,-3.645849228E-1,1.357947588E-1,1.082975921E0
1.518865015E0,-9.487380981E-1,-3.975875378E-1,1.453312635E-1,1.038894126E0
1.523881109E0,-8.987817764E-1,-4.233684540E-1,1.582392454E-1,1.006026435E0
1.528897255E0,-8.943071365E-1,-3.966901302E-1,1.656472683E-1,9.922637408E-1
1.533913349E0,-8.994293213E-1,-3.965225220E-1,1.368089914E-1,9.924313148E-1
1.538929494E0,-8.544940948E-1,-3.559174538E-1,8.177828789E-2,9.292605019E-1
1.543945588E0,-8.098602295E-1,-2.800145149E-1,5.290913582E-2,8.585342722E-1
1.548961734E0,-7.369127274E-1,-1.976394653E-1,-2.637839317E-2,7.634117799E-1
1.553977828E0,-6.379585266E-1,-1.109972000E-1,-8.245539665E-2,6.527712865E-1
1.558993974E0,-5.347204208E-1,-2.047681808E-2,-1.251181364E-1,5.495450633E-1
1.564010067E0,-4.319257736E-1,5.019140244E-2,-1.686347723E-1,4.663868965E-1
1.569026213E0,-3.105344772E-1,8.428049088E-2,-1.842992306E-1,3.708113659E-1
1.574042359E0,-1.967267990E-1,1.274938583E-1,-2.080907822E-1,3.134611475E-1
1.579058453E0,-5.237770081E-2,1.630473137E-1,-2.371287346E-1,2.925027980E-1
1.584074599E0,6.739711761E-2,1.860733032E-1,-2.375320196E-1,3.091716448E-1
1.589090692E0,1.866455078E-1,1.777725220E-1,-2.378287315E-1,3.507165817E-1
1.594106838E0,3.219537735E-1,1.619625092E-1,-2.066607475E-1,4.154452445E-1
