"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.436399587E0,4.160953760E-1,-1.608261585E0,-3.099518776E0,3.516625845E0
1.441415003E0,1.294590235E-1,-1.365706205E0,-2.868272781E0,3.179449925E0
1.446430420E0,3.620841503E-1,-1.250627518E0,-2.993422508E0,3.264315002E0
1.451445889E0,3.222010732E-1,-1.249124408E0,-3.014943123E0,3.279330321E0
1.456461305E0,2.593642771E-1,-1.195576549E0,-2.763193130E0,3.021904927E0
1.461476722E0,2.804322839E-1,-1.107446909E0,-2.296089172E0,2.564586986E0
1.466492191E0,3.782579005E-1,-1.059111834E0,-1.782752037E0,2.107842912E0
1.471507608E0,3.452498615E-1,-9.652919769E-1,-2.436917305E0,2.643776091E0
1.476523076E0,1.292315125E-1,-8.719625473E-1,-2.481032372E0,2.632971913E0
1.481538493E0,2.867488861E-1,-7.595024109E-1,-2.744536400E0,2.862088204E0
1.486553910E0,1.484317183E-1,-6.672389507E-1,-2.250606537E0,2.352120230E0
1.491569378E0,3.047454357E-1,-6.550638676E-1,-2.019982338E0,2.145298836E0
1.496584795E0,3.798416555E-1,-6.649150848E-1,-2.141185760E0,2.273998288E0
1.501600264E0,1.577709168E-1,-3.662090302E-1,-2.773115158E0,2.801636735E0
1.506615680E0,1.350238472E-1,-8.028769493E-2,-3.333023071E0,3.336722995E0
1.511631097E0,2.830609083E-1,1.308679581E-1,-3.490880013E0,3.504781471E0
1.516646566E0,1.926976442E-1,1.597056389E-1,-3.453267097E0,3.462324641E0
1.521661983E0,1.323468536E-1,1.173014641E-1,-3.074885368E0,3.079966778E0
1.526677399E0,1.899487823E-1,2.361483574E-1,-2.789643288E0,2.806057066E0
1.531692868E0,2.249086052E-1,5.011138916E-1,-3.296559334E0,3.342005753E0
1.536708285E0,9.617850184E-2,7.497749329E-1,-3.883665085E0,3.956547390E0
1.541723701E0,5.486719310E-2,7.697305679E-1,-3.872225761E0,3.948370284E0
1.546739170E0,1.917266101E-1,8.961391449E-1,-3.850769043E0,3.958313616E0
1.551754587E0,1.526603550E-1,9.842548370E-1,-3.652462959E0,3.785835236E0
1.556770055E0,4.054555297E-2,9.492092133E-1,-3.390198708E0,3.520808053E0
1.561785472E0,9.439480305E-2,8.495340347E-1,-3.207584381E0,3.319520450E0
1.566800889E0,1.871559620E-1,7.575311661E-1,-2.975598335E0,3.076209725E0
1.571816358E0,9.437364340E-2,7.901792526E-1,-2.854195595E0,2.963059589E0
1.576831774E0,6.966605783E-2,8.184280396E-1,-2.788189888E0,2.906661430E0
1.581847243E0,1.748381853E-1,7.396025658E-1,-2.745410919E0,2.848659590E0
1.586862660E0,6.969329715E-2,3.535666466E-1,-1.805191040E0,1.840809936E0
1.591878076E0,1.917745173E-1,1.579456329E-1,-9.704847336E-1,1.001780868E0
1.596893545E0,1.682702303E-1,1.645236015E-1,-7.925262451E-1,8.267289369E-1
1.601908962E0,1.093585193E-1,1.339387894E-1,-7.608947754E-1,7.802946522E-1
1.606924378E0,1.964214444E-1,9.114265442E-3,-7.391872406E-1,7.648936072E-1
1.611939847E0,1.308454275E-1,4.602193832E-2,-7.132778168E-1,7.266386919E-1
1.616955264E0,1.874078810E-1,8.895874023E-2,-5.590829849E-1,5.963297371E-1
1.621970680E0,9.821233153E-2,6.838798523E-2,-5.752086639E-1,5.875266680E-1
1.626986149E0,1.410699487E-1,3.542423248E-3,-6.990833282E-1,7.131835521E-1
1.632001566E0,2.293458879E-1,-2.894163132E-2,-6.942462921E-1,7.317206218E-1
