"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.916949020E-1,-5.212970734E0,6.620056927E-2,5.833591148E-2,5.213717432E0
7.942028190E-1,-5.172654629E0,7.414158434E-2,5.772506446E-2,5.173508004E0
7.967107350E-1,-5.131727695E0,6.497887522E-2,5.405998230E-2,5.132423782E0
7.992186000E-1,-5.091412067E0,6.558972597E-2,5.589252338E-2,5.092141281E0
8.017265170E-1,-5.054760933E0,6.314633787E-2,5.894676223E-2,5.055499013E0
8.042344330E-1,-5.015056133E0,6.681142002E-2,5.650337040E-2,5.015819416E0
8.067423500E-1,-4.977183342E0,6.314633787E-2,5.772506446E-2,4.977918607E0
8.092502670E-1,-4.936867714E0,6.314633787E-2,5.772506446E-2,4.937608983E0
8.117581310E-1,-4.897773266E0,6.314633787E-2,5.467082933E-2,4.898485411E0
8.142660480E-1,-4.858068466E0,6.192464009E-2,5.711421743E-2,4.858798814E0
8.167739650E-1,-4.811644077E0,5.887040496E-2,5.772506446E-2,4.812350427E0
8.192818810E-1,-4.751780987E0,6.375718117E-2,6.261184067E-2,4.752621147E0
8.217897980E-1,-4.676646709E0,8.330429345E-2,7.666133344E-2,4.678016782E0
8.242976630E-1,-4.531264782E0,6.070294604E-2,7.727217674E-2,4.532330125E0
8.268055790E-1,-4.261805058E0,4.421006888E-2,6.566607952E-2,4.262540195E0
8.293134960E-1,-3.961268187E0,3.626905754E-2,7.849387079E-2,3.962211804E0
8.318214130E-1,-3.649735928E0,4.909684882E-2,6.994201243E-2,3.650736190E0
8.343292770E-1,-3.336371422E0,5.154023692E-2,3.756710514E-2,3.336980963E0
8.368371940E-1,-2.973528147E0,6.131379306E-2,2.779355086E-2,2.974290084E0
8.393451100E-1,-2.603354692E0,6.864395738E-2,3.512371704E-2,2.604496367E0
8.418530270E-1,-2.244787216E0,5.398362502E-2,2.596100792E-2,2.245586305E0
8.443609440E-1,-1.894160986E0,2.221956849E-2,4.581354558E-3,1.894296845E0
8.468688080E-1,-1.538571477E0,1.450762269E-3,1.007897966E-2,1.538605174E0
8.493767250E-1,-1.192831993E0,-1.382041909E-2,1.557660475E-2,1.193013746E0
8.518846420E-1,-8.703046441E-1,-1.626380906E-2,6.413896102E-3,8.704802256E-1
8.543925580E-1,-5.844281316E-1,-3.436015919E-3,-7.024743594E-3,5.844804481E-1
8.569004750E-1,-3.290939629E-1,1.794363745E-2,-6.413896102E-3,3.296451859E-1
8.594083400E-1,-8.964183182E-2,2.527380548E-2,-7.635590620E-3,9.344905296E-2
8.619162560E-1,1.333174109E-1,8.170082234E-3,-1.924168877E-2,1.349463778E-1
8.644241730E-1,3.348970115E-1,-1.076618303E-2,-1.618745178E-2,3.354608064E-1
8.669320900E-1,5.083776116E-1,-2.542651631E-2,-3.970507067E-3,5.090285539E-1
